,region,structure_id,A/P,D/V,M/L,horizontal_position,vertical_position,is_valid,cortical_depth
84,none,0,-1.0,-1.0,-1.0,43,860,True,-1.0
85,none,0,-1.0,-1.0,-1.0,11,860,True,-1.0
86,none,0,-1.0,-1.0,-1.0,59,880,True,-1.0
87,none,0,-1.0,-1.0,-1.0,27,880,True,-1.0
88,none,0,-1.0,-1.0,-1.0,43,900,True,-1.0
89,none,0,-1.0,-1.0,-1.0,11,900,True,-1.0
90,none,0,-1.0,-1.0,-1.0,59,920,True,-1.0
91,none,0,-1.0,-1.0,-1.0,27,920,True,-1.0
92,none,0,-1.0,-1.0,-1.0,43,940,True,-1.0
93,none,0,-1.0,-1.0,-1.0,11,940,True,-1.0
94,none,0,-1.0,-1.0,-1.0,59,960,True,-1.0
95,none,0,-1.0,-1.0,-1.0,27,960,True,-1.0
96,none,0,-1.0,-1.0,-1.0,43,980,True,-1.0
97,none,0,-1.0,-1.0,-1.0,11,980,True,-1.0
98,none,0,-1.0,-1.0,-1.0,59,1000,True,-1.0
99,none,0,-1.0,-1.0,-1.0,27,1000,True,-1.0
100,none,0,-1.0,-1.0,-1.0,43,1020,True,-1.0
101,none,0,-1.0,-1.0,-1.0,11,1020,True,-1.0
102,none,0,-1.0,-1.0,-1.0,59,1040,True,-1.0
103,none,0,-1.0,-1.0,-1.0,27,1040,True,-1.0
104,none,0,-1.0,-1.0,-1.0,43,1060,True,-1.0
105,none,0,-1.0,-1.0,-1.0,11,1060,True,-1.0
106,none,0,-1.0,-1.0,-1.0,59,1080,True,-1.0
107,none,0,-1.0,-1.0,-1.0,27,1080,True,-1.0
108,none,0,-1.0,-1.0,-1.0,43,1100,True,-1.0
109,none,0,-1.0,-1.0,-1.0,11,1100,True,-1.0
110,none,0,-1.0,-1.0,-1.0,59,1120,True,-1.0
111,none,0,-1.0,-1.0,-1.0,27,1120,True,-1.0
112,none,0,-1.0,-1.0,-1.0,43,1140,False,-1.0
113,none,0,-1.0,-1.0,-1.0,11,1140,True,-1.0
114,none,0,-1.0,-1.0,-1.0,59,1160,True,-1.0
115,none,0,-1.0,-1.0,-1.0,27,1160,True,-1.0
116,none,0,-1.0,-1.0,-1.0,43,1180,True,-1.0
117,none,0,-1.0,-1.0,-1.0,11,1180,True,-1.0
118,none,0,-1.0,-1.0,-1.0,59,1200,True,-1.0
119,none,0,-1.0,-1.0,-1.0,27,1200,True,-1.0
120,none,0,-1.0,-1.0,-1.0,43,1220,True,-1.0
121,none,0,-1.0,-1.0,-1.0,11,1220,True,-1.0
122,none,0,-1.0,-1.0,-1.0,59,1240,True,-1.0
123,none,0,-1.0,-1.0,-1.0,27,1240,True,-1.0
124,none,0,-1.0,-1.0,-1.0,43,1260,True,-1.0
125,none,0,-1.0,-1.0,-1.0,11,1260,True,-1.0
126,none,0,-1.0,-1.0,-1.0,59,1280,True,-1.0
127,none,0,-1.0,-1.0,-1.0,27,1280,True,-1.0
128,none,0,-1.0,-1.0,-1.0,43,1300,True,-1.0
129,none,0,-1.0,-1.0,-1.0,11,1300,True,-1.0
130,none,0,-1.0,-1.0,-1.0,59,1320,True,-1.0
131,none,0,-1.0,-1.0,-1.0,27,1320,True,-1.0
132,none,0,-1.0,-1.0,-1.0,43,1340,True,-1.0
133,none,0,-1.0,-1.0,-1.0,11,1340,True,-1.0
134,none,0,-1.0,-1.0,-1.0,59,1360,True,-1.0
135,none,0,-1.0,-1.0,-1.0,27,1360,True,-1.0
136,none,0,-1.0,-1.0,-1.0,43,1380,True,-1.0
137,none,0,-1.0,-1.0,-1.0,11,1380,True,-1.0
138,none,0,-1.0,-1.0,-1.0,59,1400,True,-1.0
139,none,0,-1.0,-1.0,-1.0,27,1400,True,-1.0
140,none,0,-1.0,-1.0,-1.0,43,1420,True,-1.0
141,none,0,-1.0,-1.0,-1.0,11,1420,True,-1.0
142,none,0,-1.0,-1.0,-1.0,59,1440,True,-1.0
143,none,0,-1.0,-1.0,-1.0,27,1440,True,-1.0
144,none,0,-1.0,-1.0,-1.0,43,1460,True,-1.0
145,none,0,-1.0,-1.0,-1.0,11,1460,True,-1.0
146,none,0,-1.0,-1.0,-1.0,59,1480,True,-1.0
147,none,0,-1.0,-1.0,-1.0,27,1480,True,-1.0
148,none,0,-1.0,-1.0,-1.0,43,1500,True,-1.0
149,none,0,-1.0,-1.0,-1.0,11,1500,True,-1.0
150,none,0,-1.0,-1.0,-1.0,59,1520,True,-1.0
151,none,0,-1.0,-1.0,-1.0,27,1520,False,-1.0
152,none,0,-1.0,-1.0,-1.0,43,1540,True,-1.0
153,none,0,-1.0,-1.0,-1.0,11,1540,True,-1.0
154,none,0,-1.0,-1.0,-1.0,59,1560,True,-1.0
155,none,0,-1.0,-1.0,-1.0,27,1560,True,-1.0
156,none,0,-1.0,-1.0,-1.0,43,1580,True,-1.0
157,none,0,-1.0,-1.0,-1.0,11,1580,True,-1.0
158,none,0,-1.0,-1.0,-1.0,59,1600,True,-1.0
159,none,0,-1.0,-1.0,-1.0,27,1600,True,-1.0
160,none,0,-1.0,-1.0,-1.0,43,1620,True,-1.0
161,none,0,-1.0,-1.0,-1.0,11,1620,True,-1.0
162,none,0,-1.0,-1.0,-1.0,59,1640,True,-1.0
163,none,0,-1.0,-1.0,-1.0,27,1640,True,-1.0
164,none,0,-1.0,-1.0,-1.0,43,1660,True,-1.0
165,none,0,-1.0,-1.0,-1.0,11,1660,True,-1.0
166,none,0,-1.0,-1.0,-1.0,59,1680,True,-1.0
167,none,0,-1.0,-1.0,-1.0,27,1680,True,-1.0
168,none,0,-1.0,-1.0,-1.0,43,1700,True,-1.0
169,none,0,-1.0,-1.0,-1.0,11,1700,True,-1.0
170,none,0,-1.0,-1.0,-1.0,59,1720,True,-1.0
171,none,0,-1.0,-1.0,-1.0,27,1720,True,-1.0
172,none,0,-1.0,-1.0,-1.0,43,1740,True,-1.0
173,none,0,-1.0,-1.0,-1.0,11,1740,False,-1.0
174,none,0,-1.0,-1.0,-1.0,59,1760,True,-1.0
175,none,0,-1.0,-1.0,-1.0,27,1760,True,-1.0
176,none,0,-1.0,-1.0,-1.0,43,1780,True,-1.0
177,none,0,-1.0,-1.0,-1.0,11,1780,True,-1.0
178,none,0,-1.0,-1.0,-1.0,59,1800,True,-1.0
179,none,0,-1.0,-1.0,-1.0,27,1800,True,-1.0
180,none,0,-1.0,-1.0,-1.0,43,1820,True,-1.0
181,none,0,-1.0,-1.0,-1.0,11,1820,True,-1.0
182,none,0,-1.0,-1.0,-1.0,59,1840,True,-1.0
183,none,0,-1.0,-1.0,-1.0,27,1840,True,-1.0
184,none,0,-1.0,-1.0,-1.0,43,1860,True,-1.0
185,none,0,-1.0,-1.0,-1.0,11,1860,True,-1.0
186,none,0,-1.0,-1.0,-1.0,59,1880,True,-1.0
187,none,0,-1.0,-1.0,-1.0,27,1880,True,-1.0
188,none,0,-1.0,-1.0,-1.0,43,1900,False,-1.0
189,none,0,-1.0,-1.0,-1.0,11,1900,True,-1.0
190,none,0,-1.0,-1.0,-1.0,59,1920,True,-1.0
191,none,0,-1.0,-1.0,-1.0,27,1920,True,-1.0
192,none,0,-1.0,-1.0,-1.0,43,1940,True,-1.0
193,none,0,-1.0,-1.0,-1.0,11,1940,True,-1.0
194,none,0,-1.0,-1.0,-1.0,59,1960,True,-1.0
195,none,0,-1.0,-1.0,-1.0,27,1960,True,-1.0
196,none,0,-1.0,-1.0,-1.0,43,1980,True,-1.0
197,none,0,-1.0,-1.0,-1.0,11,1980,True,-1.0
198,none,0,-1.0,-1.0,-1.0,59,2000,True,-1.0
199,none,0,-1.0,-1.0,-1.0,27,2000,True,-1.0
200,none,0,-1.0,-1.0,-1.0,43,2020,True,-1.0
